Date,Open,High,Low,Close,Volume
2018-01-01 22:00:00-05:00,1.20039,1.20812,1.20019,1.2058,35630
2018-01-02 22:00:00-05:00,1.2058,1.20666,1.2001,1.20144,31354
2018-01-03 22:00:00-05:00,1.20144,1.2089,1.20042,1.20683,35187
2018-01-04 22:00:00-05:00,1.20683,1.20834,1.20208,1.20297,36478
2018-01-07 22:00:00-05:00,1.20297,1.20522,1.19558,1.19687,27618
2018-01-08 22:00:00-05:00,1.19687,1.19756,1.19159,1.19369,30682
2018-01-09 22:00:00-05:00,1.19369,1.20182,1.19235,1.19474,53721
2018-01-10 22:00:00-05:00,1.19474,1.20592,1.19295,1.2032,56416
2018-01-11 22:00:00-05:00,1.2032,1.22193,1.20308,1.21968,72621
2018-01-14 22:00:00-05:00,1.21968,1.22968,1.21878,1.22636,58122
2018-01-15 22:00:00-05:00,1.22636,1.22832,1.21952,1.22607,62083
2018-01-16 22:00:00-05:00,1.22607,1.2323,1.21776,1.21854,79900
2018-01-17 22:00:00-05:00,1.21854,1.2265,1.21653,1.2239,62278
2018-01-18 22:00:00-05:00,1.2239,1.22954,1.22152,1.22211,63825
2018-01-21 22:00:00-05:00,1.22211,1.22743,1.22141,1.22614,46154
2018-01-22 22:00:00-05:00,1.22614,1.23062,1.2223,1.2299,54615
2018-01-23 22:00:00-05:00,1.2299,1.24154,1.22914,1.2408,77439
2018-01-24 22:00:00-05:00,1.2408,1.25374,1.23642,1.2398,177246
2018-01-25 22:00:00-05:00,1.2398,1.2494,1.23699,1.24296,107812
2018-01-28 22:00:00-05:00,1.24296,1.24324,1.2337,1.23827,75291
2018-01-29 22:00:00-05:00,1.23827,1.24543,1.23349,1.24024,79856
2018-01-30 22:00:00-05:00,1.24024,1.24748,1.2387,1.24138,102596
2018-01-31 22:00:00-05:00,1.24138,1.25233,1.23849,1.25079,83787
2018-02-01 22:00:00-05:00,1.25079,1.25184,1.24092,1.24566,96966
2018-02-04 22:00:00-05:00,1.24566,1.2475,1.23625,1.23671,101428
2018-02-05 22:00:00-05:00,1.23671,1.24346,1.23138,1.2377,133358
2018-02-06 22:00:00-05:00,1.2377,1.24064,1.2246,1.2263,75446
2018-02-07 22:00:00-05:00,1.2263,1.2295,1.22122,1.2247,104899
2018-02-08 22:00:00-05:00,1.2247,1.22871,1.2206,1.22512,98355
