,time,volume,mid_o,mid_h,mid_l,mid_c,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
43,2018-03-01 22:00:00-05:00,68139,1.22666,1.2336,1.22514,1.23183,1.22637,1.23354,1.22507,1.23153,1.22695,1.23368,1.22519,1.23213
44,2018-03-04 22:00:00-05:00,70397,1.23183,1.23656,1.22689,1.23358,1.23153,1.2364,1.2268,1.23335,1.23213,1.23676,1.22697,1.23382
45,2018-03-05 22:00:00-05:00,60303,1.23358,1.24205,1.23284,1.2405,1.23335,1.24198,1.23276,1.24026,1.23382,1.24213,1.23291,1.24075
46,2018-03-06 22:00:00-05:00,66027,1.2405,1.24464,1.23849,1.24114,1.24026,1.24422,1.23839,1.2409,1.24075,1.24507,1.23856,1.24139
47,2018-03-07 22:00:00-05:00,79137,1.24114,1.24465,1.22978,1.23122,1.2409,1.24456,1.22971,1.23095,1.24139,1.24474,1.22985,1.23148
48,2018-03-08 22:00:00-05:00,64098,1.23122,1.23346,1.22728,1.23059,1.23095,1.23338,1.22721,1.23029,1.23148,1.23353,1.22736,1.23089
49,2018-03-11 21:00:00-05:00,37231,1.23059,1.23456,1.22904,1.23347,1.23029,1.23449,1.22898,1.23322,1.23089,1.23463,1.22911,1.23372
50,2018-03-12 21:00:00-05:00,56176,1.23347,1.24075,1.23146,1.23904,1.23322,1.24068,1.23139,1.23879,1.23372,1.24082,1.23153,1.23928
51,2018-03-13 21:00:00-05:00,47824,1.23904,1.24126,1.23471,1.23678,1.23879,1.24119,1.23464,1.23655,1.23928,1.24134,1.23477,1.23701
52,2018-03-14 21:00:00-05:00,45401,1.23678,1.2384,1.23002,1.23048,1.23655,1.23832,1.22995,1.23024,1.23701,1.23848,1.23009,1.23071
53,2018-03-15 21:00:00-05:00,40632,1.23048,1.23362,1.22604,1.22895,1.23024,1.23356,1.22596,1.22865,1.23071,1.23369,1.2261,1.22925
54,2018-03-18 21:00:00-05:00,50420,1.22895,1.2359,1.2258,1.23354,1.22865,1.23583,1.22572,1.23327,1.22925,1.23598,1.22586,1.2338
55,2018-03-19 21:00:00-05:00,45948,1.23354,1.23546,1.22398,1.22412,1.23327,1.2354,1.22387,1.22387,1.2338,1.23553,1.22404,1.22436
56,2018-03-20 21:00:00-05:00,75552,1.22412,1.23498,1.22405,1.23376,1.22387,1.2349,1.22387,1.23351,1.22436,1.23506,1.22419,1.234
57,2018-03-21 21:00:00-05:00,66038,1.23376,1.23884,1.22853,1.23013,1.23351,1.23877,1.22845,1.22985,1.234,1.23891,1.22861,1.23041
58,2018-03-22 21:00:00-05:00,56603,1.23013,1.23738,1.22999,1.23524,1.22985,1.23731,1.22969,1.23494,1.23041,1.23745,1.23018,1.23554
59,2018-03-25 21:00:00-05:00,45028,1.23524,1.24616,1.235,1.24451,1.23494,1.2461,1.2347,1.24425,1.23554,1.24622,1.23525,1.24477
60,2018-03-26 21:00:00-05:00,50930,1.24451,1.24767,1.23722,1.24028,1.24425,1.2476,1.23714,1.24003,1.24477,1.24774,1.23729,1.24052
61,2018-03-27 21:00:00-05:00,53275,1.24028,1.24218,1.22999,1.23079,1.24003,1.2421,1.22992,1.23051,1.24052,1.24225,1.23006,1.23107
62,2018-03-28 21:00:00-05:00,46145,1.23079,1.23366,1.22842,1.22998,1.23051,1.2335,1.22835,1.22972,1.23107,1.23399,1.22849,1.23025
63,2018-03-29 21:00:00-05:00,21400,1.22998,1.23312,1.22904,1.23241,1.22972,1.233,1.2285,1.23211,1.23025,1.23324,1.22945,1.23271
64,2018-04-01 21:00:00-05:00,26660,1.23241,1.2345,1.22814,1.2302,1.23211,1.23443,1.22804,1.22994,1.23271,1.23459,1.22824,1.23045
65,2018-04-02 21:00:00-05:00,43925,1.2302,1.23362,1.22534,1.22706,1.22994,1.23353,1.22528,1.22678,1.23045,1.2337,1.22541,1.22735
66,2018-04-03 21:00:00-05:00,42892,1.22706,1.23148,1.22569,1.22777,1.22678,1.23141,1.22562,1.22752,1.22735,1.23156,1.22576,1.22802
67,2018-04-04 21:00:00-05:00,39823,1.22777,1.22902,1.22184,1.22398,1.22752,1.22895,1.22177,1.22372,1.22802,1.2291,1.2219,1.22425
68,2018-04-05 21:00:00-05:00,60781,1.22398,1.22912,1.22149,1.22811,1.22372,1.22906,1.22142,1.22781,1.22425,1.22919,1.22156,1.22841
69,2018-04-08 21:00:00-05:00,46133,1.22811,1.23311,1.22604,1.23209,1.22781,1.233,1.22597,1.23184,1.22841,1.23322,1.22611,1.23234
70,2018-04-09 21:00:00-05:00,54193,1.23209,1.23776,1.23027,1.2356,1.23184,1.23768,1.2302,1.23532,1.23234,1.23785,1.23034,1.23587
71,2018-04-10 21:00:00-05:00,46190,1.2356,1.23976,1.2347,1.23674,1.23532,1.2395,1.23463,1.23648,1.23587,1.24007,1.23478,1.23701
72,2018-04-11 21:00:00-05:00,49137,1.23674,1.23799,1.22991,1.2326,1.23648,1.23792,1.22983,1.23235,1.23701,1.23806,1.22999,1.23286
73,2018-04-12 21:00:00-05:00,37690,1.2326,1.23462,1.2307,1.23306,1.23235,1.23455,1.23064,1.23276,1.23286,1.23468,1.23077,1.23336
74,2018-04-15 21:00:00-05:00,35426,1.23306,1.23948,1.2324,1.23792,1.23276,1.23941,1.23216,1.23763,1.23336,1.23954,1.23248,1.2382
75,2018-04-16 21:00:00-05:00,37050,1.23792,1.2414,1.23362,1.23698,1.23763,1.24134,1.23355,1.23674,1.2382,1.24147,1.2337,1.23721
